Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount_MinMax,Amount_ZScore,Boxes Shipped_MinMax,Boxes Shipped_ZScore
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180.0,0.30182588898354673,-0.1578734982340903,0.37883597883597886,0.14423872380902203
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94.0,0.44816571394526633,0.4422772688816593,0.19682539682539682,-0.5813689235887023
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91.0,0.2552993685473478,-0.3486823019094781,0.19047619047619047,-0.606680818265367
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342.0,0.7225528857484906,1.5675599572236898,0.7216931216931217,1.5110810363489213
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184.0,0.7770326575413047,1.7909856504162378,0.3873015873015873,0.17798791671124178
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38.0,0.30500718952619277,-0.14482674242722618,0.07830687830687831,-1.0538576242197786
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176.0,0.7770326575413047,1.7909856504162378,0.37037037037037035,0.1104895309068023
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73.0,0.17457386727770358,-0.6797437305086552,0.1523809523809524,-0.7585521863253558
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59.0,0.22627000109570233,-0.4677339486471132,0.12275132275132275,-0.8766743614831249
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102.0,0.16065567740362696,-0.7368232871636857,0.21375661375661376,-0.5138705377842627
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62.0,0.2668315830144398,-0.30138781210959564,0.1291005291005291,-0.8513624668064601
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11.0,0.20996583581464118,-0.5345985721572918,0.021164021164021163,-1.2816646763097617
